Ref_Date,GEO,STAT,TENURE,SUMMARY,Vector,Coordinate,Value
2014,Canada,Average expenditure per household,All classes,All other expenses related to owned living quarters (excluding repairs and maintenance),v64476225,1.1.1.316,37
2010,Canada,Average expenditure per household,All classes,"Water, fuel and electricity for principal accommodation",v54530463,1.1.1.10,2240
2011,Canada,Average expenditure per household,All classes,"Water, fuel and electricity for principal accommodation",v54530463,1.1.1.10,2324
2012,Canada,Average expenditure per household,All classes,"Water, fuel and electricity for principal accommodation",v54530463,1.1.1.10,2307
2013,Canada,Average expenditure per household,All classes,"Water, fuel and electricity for principal accommodation",v54530463,1.1.1.10,2380
2014,Canada,Average expenditure per household,All classes,"Water, fuel and electricity for principal accommodation",v54530463,1.1.1.10,2551
2010,Canada,Average expenditure per household,All classes,Water and sewage for principal accommodation,v64476226,1.1.1.69,301
2011,Canada,Average expenditure per household,All classes,Water and sewage for principal accommodation,v64476226,1.1.1.69,308
2012,Canada,Average expenditure per household,All classes,Water and sewage for principal accommodation,v64476226,1.1.1.69,323
2013,Canada,Average expenditure per household,All classes,Water and sewage for principal accommodation,v64476226,1.1.1.69,354
2014,Canada,Average expenditure per household,All classes,Water and sewage for principal accommodation,v64476226,1.1.1.69,350
2010,Canada,Average expenditure per household,All classes,Electricity for principal accommodation,v64476227,1.1.1.70,1202
2011,Canada,Average expenditure per household,All classes,Electricity for principal accommodation,v64476227,1.1.1.70,1257
2012,Canada,Average expenditure per household,All classes,Electricity for principal accommodation,v64476227,1.1.1.70,1281
2013,Canada,Average expenditure per household,All classes,Electricity for principal accommodation,v64476227,1.1.1.70,1314
2014,Canada,Average expenditure per household,All classes,Electricity for principal accommodation,v64476227,1.1.1.70,1405
2010,Canada,Average expenditure per household,All classes,Natural gas for principal accommodation,v64476228,1.1.1.71,557
2011,Canada,Average expenditure per household,All classes,Natural gas for principal accommodation,v64476228,1.1.1.71,578
2012,Canada,Average expenditure per household,All classes,Natural gas for principal accommodation,v64476228,1.1.1.71,513
2013,Canada,Average expenditure per household,All classes,Natural gas for principal accommodation,v64476228,1.1.1.71,536
2014,Canada,Average expenditure per household,All classes,Natural gas for principal accommodation,v64476228,1.1.1.71,581
2010,Canada,Average expenditure per household,All classes,Other fuel for principal accommodation,v64476229,1.1.1.72,179
2011,Canada,Average expenditure per household,All classes,Other fuel for principal accommodation,v64476229,1.1.1.72,181
2012,Canada,Average expenditure per household,All classes,Other fuel for principal accommodation,v64476229,1.1.1.72,189
2013,Canada,Average expenditure per household,All classes,Other fuel for principal accommodation,v64476229,1.1.1.72,177
2014,Canada,Average expenditure per household,All classes,Other fuel for principal accommodation,v64476229,1.1.1.72,214
2010,Canada,Average expenditure per household,All classes,Other accommodation,v54530464,1.1.1.11,1433
2011,Canada,Average expenditure per household,All classes,Other accommodation,v54530464,1.1.1.11,1234
2012,Canada,Average expenditure per household,All classes,Other accommodation,v54530464,1.1.1.11,1444
2013,Canada,Average expenditure per household,All classes,Other accommodation,v54530464,1.1.1.11,1470
2014,Canada,Average expenditure per household,All classes,Other accommodation,v54530464,1.1.1.11,1689
2010,Canada,Average expenditure per household,All classes,Owned vacation homes and other secondary residences,v64476230,1.1.1.73,717
